asfasfasd
Time Stamp,HR Status,Heart Rate(bpm),RR
00:23:29,LOCKED,64,1.07848
00:23:29,LOCKED,65,1.07848
00:23:30,LOCKED,65,0.82960
00:23:30,LOCKED,65,0.56413
00:23:30,LOCKED,65,0.56413
00:23:31,LOCKED,65,0.82960
00:23:31,LOCKED,66,0.82960
00:23:32,LOCKED,66,0.81301
00:23:32,LOCKED,66,0.81301
00:23:33,LOCKED,66,0.76323
00:23:33,LOCKED,66,0.76323
00:23:34,LOCKED,66,0.84619
00:23:35,LOCKED,66,0.94574
00:23:35,LOCKED,67,0.94574
00:23:35,LOCKED,67,0.96234
00:23:35,LOCKED,67,0.96234
00:23:36,LOCKED,67,0.92915
00:23:36,LOCKED,67,0.92915
00:23:37,LOCKED,67,0.87938
00:23:37,LOCKED,67,0.87938
00:23:38,LOCKED,67,0.86278
00:23:38,LOCKED,67,0.86278
00:23:39,LOCKED,67,0.94574
00:23:39,LOCKED,68,0.94574
00:23:40,LOCKED,68,1.11166
00:23:40,LOCKED,67,1.11166
00:23:41,LOCKED,67,0.99552
00:23:41,LOCKED,67,0.99552
00:23:42,LOCKED,67,0.97893
00:23:42,LOCKED,67,0.97893
00:23:43,LOCKED,67,1.01211
00:23:43,LOCKED,66,1.01211
00:23:44,LOCKED,66,1.04530
00:23:44,LOCKED,66,1.04530
00:23:45,LOCKED,66,1.04530
00:23:45,LOCKED,65,1.04530
00:23:46,LOCKED,65,0.99552
00:23:46,LOCKED,59,0.99552
00:23:47,LOCKED,59,1.06189
00:23:47,LOCKED,59,1.06189
00:23:48,LOCKED,59,1.04530
00:23:48,LOCKED,58,1.04530
00:23:49,LOCKED,58,1.04530
00:23:49,LOCKED,58,1.04530
00:23:49,LOCKED,58,1.04530
00:23:50,LOCKED,58,1.04530
00:23:50,LOCKED,57,1.04530
00:23:52,LOCKED,57,1.09507
00:23:52,LOCKED,57,1.09507
00:23:53,LOCKED,57,1.04530
00:23:53,LOCKED,57,1.04530
00:23:54,LOCKED,57,1.04530
00:23:54,LOCKED,57,1.04530
00:23:55,LOCKED,57,1.04530
00:23:55,LOCKED,57,1.04530
00:23:56,LOCKED,57,1.07848
00:23:56,LOCKED,56,1.07848
00:23:57,LOCKED,56,1.04530
00:23:57,LOCKED,56,1.04530
00:23:58,LOCKED,56,1.06189
00:23:58,LOCKED,56,1.06189
00:23:59,LOCKED,56,1.09507
00:23:59,LOCKED,56,1.09507
00:24:00,LOCKED,56,1.07848
00:24:00,LOCKED,56,1.07848
00:24:01,LOCKED,56,1.06189
00:24:01,LOCKED,56,1.06189
00:24:02,LOCKED,56,1.04530
00:24:02,LOCKED,56,1.04530
00:24:03,LOCKED,56,1.09507
00:24:03,LOCKED,55,1.09507
00:24:04,LOCKED,55,1.09507
00:24:04,LOCKED,55,1.09507
00:24:04,LOCKED,56,1.09507
00:24:05,LOCKED,56,1.04530
00:24:05,LOCKED,56,1.04530
00:24:07,LOCKED,56,1.07848
00:24:07,LOCKED,55,1.07848
00:24:08,LOCKED,55,1.11166
00:24:08,LOCKED,55,1.11166
00:24:09,LOCKED,55,1.09507
00:24:09,LOCKED,55,1.09507
00:24:10,LOCKED,55,1.09507
00:24:10,LOCKED,54,1.09507
00:24:11,LOCKED,54,1.09507
00:24:11,LOCKED,54,1.09507
00:24:12,LOCKED,54,1.06189
00:24:12,LOCKED,55,1.06189
00:24:13,LOCKED,55,1.07848
00:24:13,LOCKED,55,1.07848
00:24:14,LOCKED,55,1.04530
00:24:14,LOCKED,55,1.04530
00:24:15,LOCKED,55,1.04530
00:24:15,LOCKED,55,1.04530
00:24:16,LOCKED,55,1.04530
00:24:16,LOCKED,55,1.04530
00:24:17,LOCKED,55,1.06189
00:24:17,LOCKED,56,1.06189
00:24:18,LOCKED,56,1.07848
00:24:18,LOCKED,55,1.07848
00:24:18,LOCKED,56,1.07848
00:24:19,LOCKED,56,1.11166
00:24:19,LOCKED,55,1.11166
00:24:21,LOCKED,55,1.09507
00:24:21,LOCKED,55,1.09507
00:24:22,LOCKED,55,1.07848
00:24:22,LOCKED,55,1.07848
00:24:23,LOCKED,55,1.09507
00:24:23,LOCKED,54,1.09507
00:24:24,LOCKED,54,1.06189
00:24:24,LOCKED,55,1.06189
00:24:25,LOCKED,55,1.02870
00:24:25,LOCKED,55,1.02870
00:24:26,LOCKED,55,1.04530
00:24:26,LOCKED,55,1.04530
00:24:27,LOCKED,55,1.06189
00:24:27,LOCKED,55,1.06189
00:24:28,LOCKED,55,1.04530
00:24:28,LOCKED,55,1.04530
00:24:29,LOCKED,55,0.99552
00:24:29,LOCKED,56,0.99552
00:24:30,LOCKED,56,1.01211
00:24:30,LOCKED,56,1.01211
00:24:31,LOCKED,56,1.02870
00:24:31,LOCKED,56,1.02870
00:24:32,LOCKED,56,1.02870
00:24:32,LOCKED,59,1.02870
00:24:33,LOCKED,59,0.99552
00:24:33,LOCKED,58,0.99552
00:24:34,LOCKED,58,1.02870
00:24:34,LOCKED,59,1.02870
00:24:35,LOCKED,59,1.06189
00:24:35,LOCKED,58,1.06189
00:24:36,LOCKED,58,1.06189
00:24:36,LOCKED,57,1.06189
00:24:37,LOCKED,57,1.04530
00:24:37,LOCKED,57,1.04530
00:24:37,LOCKED,57,1.04530
00:24:38,LOCKED,57,1.04530
00:24:38,LOCKED,57,1.04530
00:24:39,LOCKED,57,1.06189
00:24:39,LOCKED,56,1.06189
00:24:40,LOCKED,56,0.96234
00:24:41,LOCKED,56,0.87938
00:24:41,LOCKED,57,0.87938
00:24:41,LOCKED,57,0.33184
00:24:41,LOCKED,57,0.33184
00:24:42,LOCKED,57,0.79642
00:24:42,LOCKED,58,0.79642
00:24:43,LOCKED,58,0.99552
00:24:43,LOCKED,58,0.99552
00:24:44,LOCKED,58,0.96234
00:24:45,LOCKED,58,0.39821
00:24:45,LOCKED,59,0.39821
00:24:45,LOCKED,59,0.74664
00:24:45,LOCKED,59,0.74664
00:24:46,LOCKED,59,0.96234
00:24:46,LOCKED,60,0.96234
00:24:47,LOCKED,60,1.07848
00:24:47,LOCKED,60,1.07848
00:24:48,LOCKED,60,1.06189
00:24:48,LOCKED,60,1.06189
00:24:50,LOCKED,60,1.09507
00:24:50,LOCKED,60,1.09507
00:24:51,LOCKED,60,1.07848
00:24:51,LOCKED,60,1.07848
00:24:52,LOCKED,60,1.09507
00:24:52,LOCKED,60,1.09507
00:24:53,LOCKED,60,1.09507
00:24:53,LOCKED,55,1.09507
00:24:54,LOCKED,55,1.12826
00:24:54,LOCKED,55,1.12826
00:24:55,LOCKED,55,1.07848
00:24:55,LOCKED,54,1.07848
00:24:56,LOCKED,54,1.11166
00:24:56,LOCKED,54,1.11166
00:24:56,LOCKED,54,1.11166
00:24:57,LOCKED,54,1.12826
00:24:57,LOCKED,54,1.12826
00:24:58,LOCKED,54,1.11166
00:24:58,LOCKED,54,1.11166
00:25:00,LOCKED,54,1.09507
00:25:00,LOCKED,54,1.09507
00:25:01,LOCKED,54,1.12826
00:25:01,LOCKED,54,1.12826
00:25:02,LOCKED,54,1.14485
00:25:02,LOCKED,54,1.14485
00:25:03,LOCKED,54,1.12826
00:25:03,LOCKED,54,1.12826
00:25:04,LOCKED,54,1.11166
00:25:04,LOCKED,54,1.11166
00:25:04,LOCKED,54,1.11166
00:25:05,LOCKED,54,1.12826
00:25:05,LOCKED,54,1.12826
00:25:06,LOCKED,54,1.11166
00:25:06,LOCKED,54,1.11166
00:25:07,LOCKED,54,1.12826
00:25:07,LOCKED,53,1.12826
00:25:09,LOCKED,53,1.07848
00:25:09,LOCKED,54,1.07848
00:25:10,LOCKED,54,1.09507
00:25:10,LOCKED,54,1.09507
00:25:11,LOCKED,54,1.12826
00:25:11,LOCKED,54,1.12826
00:25:12,LOCKED,54,1.12826
00:25:12,LOCKED,53,1.12826
00:25:13,LOCKED,53,1.07848
00:25:13,LOCKED,53,1.07848
00:25:14,LOCKED,53,1.11166
00:25:14,LOCKED,53,1.11166
00:25:14,LOCKED,53,1.11166
00:25:15,LOCKED,53,1.11166
00:25:15,LOCKED,53,1.11166
00:25:16,LOCKED,53,1.11166
00:25:16,LOCKED,53,1.11166
00:25:17,LOCKED,53,1.04530
00:25:17,LOCKED,59,1.04530
00:25:18,LOCKED,59,1.07848
00:25:18,LOCKED,58,1.07848
00:25:20,LOCKED,58,1.11166
00:25:20,LOCKED,58,1.11166
00:25:21,LOCKED,58,1.11166
00:25:21,LOCKED,58,1.11166
00:25:22,LOCKED,58,1.07848
00:25:22,LOCKED,58,1.07848
00:25:23,LOCKED,58,1.09507
00:25:23,LOCKED,57,1.09507
00:25:24,LOCKED,57,1.09507
00:25:24,LOCKED,57,1.09507
00:25:25,LOCKED,57,1.12826
00:25:25,LOCKED,57,1.12826
00:25:25,LOCKED,57,1.12826
00:25:26,LOCKED,57,1.09507
00:25:26,LOCKED,56,1.09507
00:25:27,LOCKED,56,1.11166
00:25:27,LOCKED,56,1.11166
00:25:28,LOCKED,56,1.11166
00:25:28,LOCKED,56,1.11166
00:25:29,LOCKED,56,1.11166
00:25:29,LOCKED,55,1.11166
00:25:31,LOCKED,55,1.06189
00:25:31,LOCKED,55,1.06189
00:25:32,LOCKED,55,1.07848
00:25:32,LOCKED,55,1.07848
00:25:33,LOCKED,55,1.09507
00:25:33,LOCKED,55,1.09507
00:25:34,LOCKED,55,1.09507
00:25:34,LOCKED,54,1.09507
00:25:35,LOCKED,54,1.09507
00:25:35,LOCKED,54,1.09507
