fasfasf
Time Stamp,UV Index (0-4),Brightness(lux),Air Temperature,Air Pressure(hPa)
00:23:00,0,0,31.975,1017.880
00:23:00,0,0,31.975,1017.880
00:23:01,0,0,31.975,1017.880
00:23:01,0,0,31.979166666666664,1017.816
00:23:01,0,0,31.979166666666664,1017.816
00:23:02,0,0,31.979166666666664,1017.816
00:23:02,0,0,31.977083333333333,1017.877
00:23:02,0,0,31.977083333333333,1017.877
00:23:03,0,0,31.977083333333333,1017.877
00:23:03,0,0,31.979166666666664,1017.906
00:23:03,0,0,31.979166666666664,1017.906
00:23:04,0,0,31.979166666666664,1017.906
00:23:04,0,0,31.97083333333333,1017.883
00:23:04,0,0,31.97083333333333,1017.883
00:23:05,0,0,31.97083333333333,1017.883
00:23:05,0,0,31.972916666666666,1017.851
00:23:05,0,0,31.972916666666666,1017.851
00:23:06,0,0,31.972916666666666,1017.851
00:23:06,0,0,31.96875,1017.874
00:23:06,0,0,31.96875,1017.874
00:23:07,0,0,31.96875,1017.874
00:23:07,0,0,31.96875,1017.874
00:23:07,0,0,31.96875,1017.874
00:23:08,0,0,31.96875,1017.874
00:23:08,0,0,31.964583333333334,1017.835
00:23:08,0,0,31.964583333333334,1017.835
00:23:09,0,0,31.964583333333334,1017.835
00:23:09,0,0,31.960416666666667,1017.883
00:23:09,0,0,31.960416666666667,1017.883
00:23:10,0,0,31.960416666666667,1017.883
00:23:10,0,0,31.958333333333336,1017.836
00:23:10,0,0,31.958333333333336,1017.836
00:23:11,0,0,31.958333333333336,1017.836
00:23:11,0,0,31.960416666666667,1017.941
00:23:11,0,0,31.960416666666667,1017.941
00:23:12,0,0,31.960416666666667,1017.941
00:23:12,0,0,31.95625,1017.788
00:23:12,0,0,31.95625,1017.788
00:23:13,0,0,31.95625,1017.788
00:23:13,0,0,31.954166666666666,1017.854
00:23:13,0,0,31.954166666666666,1017.854
00:23:14,0,0,31.954166666666666,1017.854
00:23:14,0,0,31.952083333333334,1017.826
00:23:14,0,0,31.952083333333334,1017.826
00:23:15,0,0,31.952083333333334,1017.826
00:23:15,0,0,31.95625,1017.819
00:23:15,0,0,31.95625,1017.819
00:23:16,0,0,31.95625,1017.819
00:23:16,0,0,31.954166666666666,1017.880
00:23:16,0,0,31.954166666666666,1017.880
00:23:17,0,0,31.954166666666666,1017.880
00:23:17,0,0,31.960416666666667,1017.986
00:23:17,0,0,31.960416666666667,1017.986
00:23:18,0,0,31.960416666666667,1017.986
00:23:18,0,0,31.95625,1017.897
00:23:18,0,0,31.95625,1017.897
00:23:18,0,0,31.95625,1017.897
00:23:19,0,0,31.95625,1017.897
00:23:19,0,0,31.954166666666666,1017.906
00:23:19,0,0,31.954166666666666,1017.906
00:23:20,0,0,31.954166666666666,1017.906
00:23:20,0,0,31.95625,1017.816
00:23:20,0,0,31.95625,1017.816
00:23:21,0,0,31.95625,1017.816
00:23:21,0,0,31.958333333333336,1017.845
00:23:21,0,0,31.958333333333336,1017.845
00:23:22,0,0,31.958333333333336,1017.845
00:23:22,0,0,31.960416666666667,1017.874
00:23:22,0,0,31.960416666666667,1017.874
00:23:23,0,0,31.960416666666667,1017.874
00:23:23,0,0,31.9625,1017.810
00:23:23,0,0,31.9625,1017.810
00:23:24,0,0,31.9625,1017.810
00:23:24,0,0,31.960416666666667,1017.845
00:23:24,0,0,31.960416666666667,1017.845
00:23:25,0,0,31.960416666666667,1017.845
00:23:25,0,0,31.9625,1017.854
00:23:25,0,0,31.9625,1017.854
00:23:26,0,0,31.9625,1017.854
00:23:26,0,0,31.960416666666667,1017.893
00:23:26,0,0,31.960416666666667,1017.893
00:23:27,0,0,31.960416666666667,1017.893
00:23:27,0,0,31.958333333333336,1017.859
00:23:27,0,0,31.958333333333336,1017.859
00:23:28,0,0,31.958333333333336,1017.859
00:23:28,0,0,31.952083333333334,1017.978
00:23:28,0,0,31.952083333333334,1017.978
00:23:29,0,0,31.952083333333334,1017.978
00:23:29,0,0,31.954166666666666,1017.860
00:23:29,0,0,31.954166666666666,1017.860
00:23:30,0,0,31.954166666666666,1017.860
00:23:30,0,0,31.95625,1017.838
00:23:30,0,0,31.95625,1017.838
00:23:31,0,0,31.95625,1017.838
00:23:31,0,0,31.947916666666664,1017.869
00:23:31,0,0,31.947916666666664,1017.869
00:23:32,0,0,31.947916666666664,1017.869
00:23:32,0,0,31.947916666666664,1017.857
00:23:32,0,0,31.947916666666664,1017.857
00:23:33,0,0,31.947916666666664,1017.857
00:23:33,0,0,31.947916666666664,1017.962
00:23:33,0,0,31.947916666666664,1017.962
00:23:34,0,0,31.947916666666664,1017.962
00:23:34,0,0,31.947916666666664,1017.842
00:23:34,0,0,31.947916666666664,1017.842
00:23:35,0,0,31.947916666666664,1017.842
00:23:35,0,0,31.941666666666666,1017.866
00:23:35,0,0,31.941666666666666,1017.866
00:23:36,0,0,31.941666666666666,1017.866
00:23:36,0,0,31.941666666666666,1017.879
